"""combined adjusted net income""","""one""","""two""","""three""","""four""","""five""","""six_plus"""
5625.0,1024.0,1546.0,1850.0,2066.0,2272.0,2470.0
5675.0,1028.0,1552.0,1855.0,2072.0,2279.0,2478.0
5725.0,1032.0,1557.0,1861.0,2079.0,2286.0,2485.0
5775.0,1036.0,1563.0,1867.0,2085.0,2293.0,2493.0
5825.0,1040.0,1568.0,1872.0,2091.0,2300.0,2500.0
5875.0,1045.0,1574.0,1878.0,2098.0,2307.0,2508.0
5925.0,1049.0,1579.0,1884.0,2104.0,2314.0,2516.0
5975.0,1053.0,1585.0,1889.0,2110.0,2321.0,2523.0
6025.0,1057.0,1590.0,1895.0,2116.0,2328.0,2530.0
6075.0,1058.0,1592.0,1897.0,2119.0,2331.0,2534.0
6125.0,1060.0,1594.0,1899.0,2122.0,2334.0,2537.0
6175.0,1062.0,1597.0,1902.0,2124.0,2337.0,2540.0
6225.0,1063.0,1599.0,1904.0,2127.0,2340.0,2543.0
6275.0,1065.0,1601.0,1907.0,2130.0,2343.0,2547.0
6325.0,1066.0,1603.0,1909.0,2133.0,2346.0,2550.0
6375.0,1068.0,1606.0,1912.0,2135.0,2349.0,2553.0
6425.0,1070.0,1608.0,1914.0,2138.0,2352.0,2556.0
6475.0,1072.0,1611.0,1918.0,2142.0,2356.0,2561.0
6525.0,1078.0,1621.0,1929.0,2155.0,2371.0,2577.0
6575.0,1085.0,1630.0,1941.0,2168.0,2385.0,2593.0
6625.0,1091.0,1640.0,1953.0,2181.0,2400.0,2608.0
6675.0,1097.0,1650.0,1965.0,2195.0,2414.0,2624.0
6725.0,1104.0,1660.0,1976.0,2208.0,2429.0,2640.0
6775.0,1110.0,1669.0,1988.0,2221.0,2443.0,2655.0
6825.0,1117.0,1679.0,2000.0,2234.0,2457.0,2671.0
6875.0,1123.0,1689.0,2012.0,2247.0,2472.0,2687.0
6925.0,1129.0,1698.0,2023.0,2260.0,2486.0,2703.0
6975.0,1136.0,1708.0,2035.0,2273.0,2501.0,2718.0
7025.0,1142.0,1718.0,2047.0,2286.0,2515.0,2734.0
7075.0,1148.0,1728.0,2059.0,2300.0,2530.0,2750.0
7125.0,1155.0,1737.0,2070.0,2313.0,2544.0,2765.0
7175.0,1161.0,1747.0,2083.0,2326.0,2559.0,2782.0
7225.0,1168.0,1758.0,2095.0,2340.0,2574.0,2798.0
7275.0,1175.0,1768.0,2107.0,2354.0,2589.0,2814.0
7325.0,1181.0,1778.0,2119.0,2367.0,2604.0,2831.0
7375.0,1188.0,1788.0,2132.0,2381.0,2619.0,2847.0
7425.0,1195.0,1798.0,2144.0,2395.0,2634.0,2863.0
